rowid,name,address,category2,category3,Nbhd,lat,lng
172,Cinnabon,"100 Bayshore Drive, Nepean, ON K2B 8C1",specialty,bakery,Bayshore - Belltown,45.347237,-75.8068316
173,Cinnaholic,"900 Exhibition Way, Ottawa, ON K1S 5J3",specialty,bakery,Glebe - Dows Lake,45.3990284,-75.6847387
174,Circle K,"9061 County Road 17, ROCKLAND, Canada",convenience,gas station,(None),45.5454896,-75.3017648
175,Circle K,"385 Tompkins Ave., ORLEANS, Canada",convenience,regular,Queenswood Heights,45.4774353,-75.4985302
176,Circle K,"1980 St. Joseph Blvd., ORLEANS, Canada",convenience,gas station,Chapel Hill North,45.4635594,-75.5404122
177,Circle K,"1600 Forest Valley Drive, ORLEANS, Canada",convenience,gas station,Chapel Hill North,45.4488546,-75.535982
178,Circle K,"2075 Montreal RD, OTTAWA, Canada",convenience,gas station,Rothwell Heights - Beacon Hill North,45.4480417,-75.5939711
179,Circle K,"437 St. Laurent Blvd., OTTAWA, Canada",convenience,regular,Manor Park,45.4473684,-75.6498646
180,Circle K,"598 Montreal Road, OTTAWA, Canada",convenience,regular,Overbrook - McArthur,45.4421259,-75.6429469
181,Circle K,"80 Madawaska Street, ARNPRIOR, Canada",convenience,regular,(None),45.4347485,-76.3555146
182,Circle K,"2672 Innes Rd., GLOUCESTER, Canada",convenience,regular,Blackburn Hamlet,45.4320149,-75.56268
183,Circle K,"2063 Meadowbrook Rd., GLOUCESTER, Canada",convenience,regular,Pineview,45.427358,-75.6013072
184,Circle K,"395 Daniel St, South, ARNPRIOR, Canada",convenience,gas station,(None),45.423815,-76.3692219
185,Circle K,"1494 Innes RD, GLOUCESTER, Canada",convenience,gas station,East Industrial,45.4146989,-75.6045069
186,Circle K,"1023 Wellington Street, OTTAWA, Canada",convenience,regular,Hintonburg - Mechanicsville,45.4047842,-75.723925
187,Circle K,"256 Richmond Rd., OTTAWA, Canada",convenience,gas station,Westboro,45.393417,-75.750335
188,Circle K,"2213 Arch St., OTTAWA, Canada",convenience,regular,Elmvale - Canterbury,45.3895238,-75.6304321
189,Circle K,"1970 Walkley RD, OTTAWA, Canada",convenience,gas station,South Keys - Greenboro West,45.3829499,-75.6307122
190,Circle K,"1600 Bank ST, OTTAWA, Canada",convenience,gas station,Billings Bridge - Alta Vista,45.3781328,-75.6677458
191,Circle K,"1859 Carling Ave., OTTAWA, Canada",convenience,gas station,Laurentian,45.3762849,-75.7573774
192,Circle K,"1420 Walkley Road, OTTAWA, Canada",convenience,regular,Ledbury - Heron Gate - Ridgemont,45.3734543,-75.6535618
193,Circle K,"780 Baseline Rd., OTTAWA, Canada",convenience,regular,Skyline - Fisher Heights,45.3705807,-75.7172098
194,Circle K,"2100 Hunt Club RD, OTTAWA, Canada",convenience,gas station,Greenboro East,45.3640141,-75.6196172
195,Circle K,"1827 Baseline Rd., OTTAWA, Canada",convenience,regular,Braemar Park - Bel Air Heights - Copeland Park,45.3548571,-75.7559696
196,Circle K,"1584 Merivale RD, NEPEAN, Canada",convenience,gas station,Cityview - Crestview - Meadowlands,45.3502812,-75.7336488
197,Circle K,"1402 Highgate Street, OTTAWA, Canada",convenience,regular,Iris - Queensway Terrance South,45.3489085,-75.7698565
