name,address,note,category
Adams Sausages,"1437 Michael Street, Ottawa, ON K1B 4S1","Butcher, Meat Shops, Imported Food",bakery
Perkins Restaurant &amp; Bakery,"1130 St Laurent Blvd., Ottawa, ON K1K 3B6","Cafes, American (Traditional)",bakery
Simbad Bakery,"471 Hazeldean Road, Ottawa, ON K2L 4B8","Bakeries, Middle Eastern",bakery
Petit Bill’s Bistro,"1293 Wellington Street W, Ottawa, ON K1Y 3B1","French, Seafood, Steakhouses",bakery
Bagel Bagel,"1616 Michael Street, Ottawa, ON K1B 3T7","Bakeries, Desserts, Bagels",bakery
Rafedain Bakery,"1920 Bank Street, Ottawa, ON K1V 7Z8",Bakeries,bakery
Boulangerie Estoril,"89 Rue Eddy, Gatineau, QC J8X 2W3",Bakeries,bakery
Natural Food Pantry,"1487 Richmond Rd, Ottawa, ON K2B 6R9",Health Food Store,bakery
Anna Mae’s Cakery,"40 Zokol Cres, Ottawa, ON K2K 2K4",Bakeries,bakery
Aleda Bakes,"Ottawa, ON K2J 3Z7",Bakeries,bakery
Carp Bakery,"461 Donald B Munro Drive, Ottawa, ON K0A 1L0",Bakeries,bakery
Quitters,"1523 Stittsville Main Street, Stittsville, ON K2S 1A6","Coffee &amp; Tea, Bars",bakery
Damas Supermarket,"3033 Carling Avenue, Ottawa, ON K2B 7K3","Bakeries, Butcher, International Grocery",bakery
Ali Baba Bakery,"200 Vanguard Drive, Orléans, ON K4A 0T8",Bakeries,bakery
OZZY Food Market,"3867 Albion Road, Ottawa, ON K1T 1B2","Mediterranean, Donairs, Bakeries",bakery
Marcello’s Catering,"333 Preston St, Ottawa, ON K1S 5N4",Caterers,bakery
Ozzy’s Rappie Pies,"Ottawa, ON K2G 0J8","Comfort Food, Bakeries, Do-It-Yourself Food",bakery
Carlas’ Cupcakes,"St Laurent, Ottawa, ON","Desserts, Bakeries, Caterers",bakery
Wild Wing Kanata,"700 Eagleson Road, Kanata, ON K2M 2G9","Chicken Wings, Southern, Sandwiches",bakery
Chateau Bakery &amp; Pastry,"87 Sparks Street, Ottawa, ON K1P 5A5",Bakeries,bakery
Corner Kitchen,"200 Kent Street, Ottawa, ON K2P 2J8",Bakeries,bakery
The Bagel Place,"283 Greenbank Rd, Ottawa, ON K2C 4G1","Bakeries, Bagels",bakery
D’Cake,"2054 Baffin Avenue, Ottawa, ON K1H 5X3",Bakeries,bakery
The SconeWitch,"35 Beechwood Avenue, Ottawa, ON K1M 1M1","Bakeries, Coffee &amp; Tea, Breakfast &amp; Brunch",bakery
Marsh’s Gourmet Cookie Dough,"10 Belmont, Aylmer, QC J9H 6J5",Bakeries,bakery
Hadalyna Bakery,"117 Rue Front, Gatineau, QC J9H 5S9","Desserts, Arabian",bakery
Produce Depot,"1855 Av Carling, Ottawa, ON K2A 1E4","Grocery, Fruits &amp; Veggies",bakery
Gâteaux Gourmands 3D,"865 Maloney E, Gatineau, QC J8P 1H3","Bakeries, Local Services, Cafes",bakery
Cassis Gelato et Sorbet Maison,"68 Rue Principale, Gatineau, QC J9H 3M6","Ice Cream &amp; Frozen Yogurt, Desserts",bakery
Shawarma’s King,"395 Bank Street, Ottawa, ON K2P 1Y3","Middle Eastern, Sandwiches",bakery
Cinnabon,"100 Bayshore Drive, Nepean, ON K2B 8C1",Bakeries,bakery
Phynicia Restaurant,"605 Longfields Drive, Ottawa, ON K2J 6T7","Mediterranean, Bakeries, Pizza",bakery
Scrummie Scones,"5546 Manotick Main Street, Ottawa, ON K4M 1B3",Bakeries,bakery
George’s Meat Shop,"3681 Innes Road, Ottawa, ON K1C 1T1",Meat Shops,bakery
The Hill Bakehouse And Deli,"35 2339 Ogilvie Road, Ottawa, ON K1J 8M6",Delis,bakery
Metro,"10 Cope Dr, Kanata, ON K2M 0N2","Bakeries, Grocery, Meat Shops",bakery
Honey,"1564 Stittsville Main St, Stittsville, ON K2S 1P1","Desserts, Coffee &amp; Tea, Cocktail Bars",bakery
Glitz Cupcakes Company,"11 Murray Street, Ottawa, ON K1N 9M5",Bakeries,bakery
Herb &amp; Spice Shop,"375 Bank Street, Ottawa, ON K2P 1Y2","Health Food Store, Herbs &amp; Spices, Cosmetics &amp; Beauty Supply",bakery
Bouchée Vintage Bite,"35 De Villebois, Gatineau, QC J8T",Bakeries,bakery
Yalla Yalla Bakery &amp; Lebanese Food,"2010 Trim Road, Ottawa, ON K1C 1T1","Lebanese, Bakeries, Imported Food",bakery
